"Critère d'évaluation","Poids (%)","Score (0-5)","Catégorie","Note pondérée"
"Moralité et intégrité : le Candidat est-il intègre, de bonnes mœurs, de bonne moralité ? Laisseriez-vous le Candidat seul avec votre fille de 14 ans ?","18"," ","PSY"," "
"Vulnérabilités et addictions : le Candidat a-t-il des addictions ou habitudes qui le rendraient vulnérable (drogue, alcool, aventures extraconjugales, etc.) ?","12"," ","PSY"," "
"Santé et condition physique : le Candidat paraît-il en bonne santé, montre-t-il des signes de déclin cognitif?","4"," ","PSY"," "
"Capacité à commander : Imaginez le Candidat chef d'unité sur un champ de bataille ou PDG d'une grande entreprise. Quel niveau de maîtrise vous vient spontanément ?","12"," ","LEADERSHIP"," "
"Capacité à négocier et à comprendre les rapports de force","7"," ","LEADERSHIP"," "
"X a-t-il constitué une équipe soudée et capable ?","6"," ","LEADERSHIP"," "
"Est-il remplaçable par une IA ?","1"," ","LEADERSHIP"," "
"Succès antérieurs : a-t-il capitalisé sur ses réussites ?","6"," ","XP"," "
"Connaissance réelle des rouages de l'État, des syndicats, des lobbies: le Candidat les connaît-il et peut-il vraiment leur tenir tête ?","5"," ","XP"," "
"Expérience du secteur privé (ne serait-ce que pour des petits boulots)","5"," ","XP"," "
"Connaissance des startups deeptech, du transfert technologique et de la recherche privée","4"," ","XP"," "
"Échecs précédents : le Candidat a-t-il appris de ses erreurs ? Les disqualifient-il ?","10"," ","DEPTH"," "
"Expertise académique: le Candidat a-t-il une vraie profondeur en économie, sciences ou philosophie sur laquelle s'appuyer? Le candidat a-t-il une culture historique?","3"," ","DEPTH"," "
"Maîtrise des technologies les plus avancées : IA, cybersécurité, énergie, génie des matériaux… le Candidat a-t-il écrit des programmes informatiques ?","5"," ","DEPTH"," "
"Maîtrise des langues étrangères et compréhension fine des interlocuteurs (américains, chinois, russes, allemands…)","2"," ","DEPTH"," "
